,text,created_at,retweet_count,favorite_count,id_str,Normalised retweets,Norm likes,weighted score,media,mention,length,time,date
0,how long did it take your staff of 823 people to think that up--and where are your 33000 emails that you deleted?,2016-06-09 20:40:00,168765,297281,7.41e+17,1.0,0.760647961,0.928194388,True,False,113,20:40:00,2016-06-09
1,happy new year to all including to my many enemies and those who have fought me and lost so badly they just don't know what to do. love!,2016-12-31 13:17:21,141853,350860,8.15e+17,0.8405356559999999,0.8977396590000001,0.857696857,False,False,136,13:17:21,2016-12-31
2,the media is spending more time doing a forensic analysis of melania's speech than the fbi spent on hillary's emails.,2016-07-20 15:36:06,120661,249249,7.56e+17,0.714964596,0.63774928,0.6918000009999999,False,False,117,15:36:06,2016-07-20
3,despite the constant negative press covfefe,2017-05-31 04:06:25,127507,162788,8.7e+17,0.755529879,0.416522954,0.653827801,False,False,43,04:06:25,2017-05-31
4,peaceful protests are a hallmark of our democracy. even if i don't always agree i recognize the rights of people to express their views.,2017-01-22 14:23:17,81527,390826,8.23e+17,0.48308002299999997,1.0,0.638156016,False,False,136,14:23:17,2017-01-22
5,fidel castro is dead!,2016-11-26 13:08:11,99483,209846,8.02e+17,0.589476491,0.536929478,0.573712387,False,False,21,13:08:11,2016-11-26
6,my warmest condolences and sympathies to the victims and families of the terrible las vegas shooting. god bless you!,2017-10-02 11:11:00,75476,317744,9.15e+17,0.44722543200000003,0.8130062990000001,0.5569596920000001,False,False,116,11:11:00,2017-10-02
7,"who can figure out the true meaning of ""covfefe"" ??? enjoy!",2017-05-31 10:09:22,85555,209543,8.7e+17,0.506947531,0.536154196,0.51570953,False,False,59,10:09:22,2017-05-31
8,what an amazing comeback and win by the patriots. tom brady bob kraft and coach b are total winners. wow!,2017-02-06 03:36:00,72934,267584,8.28e+17,0.432163067,0.68466274,0.5079129689999999,False,False,105,03:36:00,2017-02-06
9,we must stop being politically correct and get down to the business of security for our people. if we don't get smart it will only get worse,2017-06-04 11:19:00,76260,246690,8.71e+17,0.451870945,0.631201609,0.505670144,False,False,140,11:19:00,2017-06-04
10,it all begins today! i will see you at 11:00 a.m. for the swearing-in. the movement continues - the work begins!,2017-01-20 12:31:53,70523,268372,8.22e+17,0.417876929,0.686678982,0.498517545,False,False,112,12:31:53,2017-01-20
11,great to be in riyadh saudi arabia. looking forward to the afternoon and evening ahead. #potusabroad,2017-05-20 09:44:31,97922,104413,8.66e+17,0.580226943,0.26715981,0.48630680299999995,True,False,100,09:44:31,2017-05-20
12,whatever the united states can do to help out in london and the u. k. we will be there - we are with you. god bless!,2017-06-03 23:24:00,65851,266026,8.71e+17,0.390193464,0.6806763109999999,0.477338318,False,False,116,23:24:00,2017-06-03
13,make america great again!,2017-02-04 14:26:00,66140,255896,8.28e+17,0.391905905,0.654756848,0.470761188,False,False,25,14:26:00,2017-02-04
14,#standforouranthem,2017-09-25 13:02:27,74410,207402,9.12e+17,0.440908956,0.530676055,0.467839086,False,False,18,13:02:27,2017-09-25
15,nobody should be allowed to burn the american flag - if they do there must be consequences - perhaps loss of citizenship or year in jail!,2016-11-29 11:55:13,72830,214139,8.04e+17,0.431546825,0.547913905,0.466456949,False,False,137,11:55:13,2016-11-29
16,just had a very open and successful presidential election. now professional protesters incited by the media are protesting. very unfair!,2016-11-11 02:19:00,69498,231526,7.97e+17,0.411803395,0.592401734,0.465982897,False,False,136,02:19:00,2016-11-11
17,see you in court the security of our nation is at stake!,2017-02-09 23:35:00,67448,237614,8.3e+17,0.39965632700000003,0.607978998,0.46215312799999997,False,False,56,23:35:00,2017-02-09
18,subject to the receipt of further information i will be allowing as president the long blocked and classified jfk files to be opened.,2017-10-21 12:35:05,70520,210520,9.22e+17,0.417859153,0.53865403,0.45409761600000004,False,False,133,12:35:05,2017-10-21
19,happy #cincodemayo! the best taco bowls are made in trump tower grill. i love hispanics!,2016-05-05 18:57:00,85465,119759,7.28e+17,0.506414245,0.30642536600000003,0.446417581,True,False,88,18:57:00,2016-05-05
20,everybody is arguing whether or not it is a ban. call it what you want it is about keeping bad people (with bad intentions) out of country!,2017-02-01 12:50:00,60583,252382,8.27e+17,0.358978461,0.645765635,0.44501461299999995,False,False,139,12:50:00,2017-02-01
21,the united states condemns the terror attack in barcelona spain and will do whatever is necessary to help. be tough strong we love you!,2017-08-17 18:00:58,66115,222216,8.98e+17,0.39175777,0.568580391,0.444804556,False,False,135,18:00:58,2017-08-17
22,thank you for another wonderful evening in washington d.c. together we will make america great again????,2017-01-21 04:56:15,52468,289942,8.23e+17,0.31089384600000003,0.741869783,0.44018662799999997,True,False,104,04:56:15,2017-01-21
23,going to the white house is considered a great honor for a championship team.stephen curry is hesitatingtherefore invitation is withdrawn!,2017-09-23 12:45:19,64839,214319,9.12e+17,0.38419696,0.548374468,0.433450213,False,False,138,12:45:19,2017-09-23
24,during my recent trip to the middle east i stated that there can no longer be funding of radical ideology. leaders pointed to qatar - look!,2017-06-06 12:06:00,87163,79181,8.72e+17,0.516475573,0.20259911100000003,0.42231263399999996,False,False,139,12:06:00,2017-06-06
25,january 20th 2017 will be remembered as the day the people became the rulers of this nation again.,2017-01-20 17:53:17,60604,218555,8.23e+17,0.359102895,0.559213051,0.41913594200000004,False,False,98,17:53:17,2017-01-20
26,christians in the middle-east have been executed in large numbers. we cannot allow this horror to continue!,2017-01-29 15:03:58,59432,223856,8.26e+17,0.35215832700000005,0.5727766320000001,0.418343818,False,False,107,15:03:58,2017-01-29
27,we did it! thank you to all of my great supporters we just officially won the election (despite all of the distorted and inaccurate media).,2016-12-19 23:51:41,59296,223249,8.11e+17,0.351352472,0.571223511,0.41731378399999997,False,False,139,23:51:41,2016-12-19
28,if u.c. berkeley does not allow free speech and practices violence on innocent people with a different point of view - no federal funds?,2017-02-02 11:13:00,60266,213655,8.27e+17,0.35710011,0.546675503,0.41397272799999996,False,False,136,11:13:00,2017-02-02
29,the media has not reported that the national debt in my first month went down by $12 billion vs a $200 billion increase in obama first mo.,2017-02-25 13:19:18,62450,201400,8.35e+17,0.370041182,0.515318838,0.41362447799999996,False,False,138,13:19:18,2017-02-25
30,love the fact that the small groups of protesters last night have passion for our great country. we will all come together and be proud!,2016-11-11 11:14:00,55954,221718,7.97e+17,0.331549788,0.567306167,0.40227670200000004,False,False,136,11:14:00,2016-11-11
31,"iran is playing with fire - they don't appreciate how ""kind"" president obama was to them. not me!",2017-02-03 11:28:00,64118,173210,8.27e+17,0.379924747,0.44318955200000004,0.39890418899999996,False,False,97,11:28:00,2017-02-03
32,we all must be united condemn all that hate stands for. there is no place for this kind of violence in america. lets come together as one!,2017-08-12 17:19:00,59652,195440,8.96e+17,0.353461914,0.5000690839999999,0.397444065,False,False,138,17:19:00,2017-08-12
33,"if chicago doesn't fix the horrible ""carnage"" going on 228 shootings in 2017 with 42 killings (up 24% from 2016) i will send in the feds!",2017-01-25 02:25:40,56038,209363,8.24e+17,0.332047522,0.535693633,0.393141355,False,False,137,02:25:40,2017-01-25
34,the issue of kneeling has nothing to do with race. it is about respect for our country flag and national anthem. nfl must respect this!,2017-09-25 11:39:03,56083,206672,9.12e+17,0.332314165,0.528808216,0.39126238,False,False,135,11:39:03,2017-09-25
35,"at least 7 dead and 48 wounded in terror attack and mayor of london says there is ""no reason to be alarmed!""",2017-06-04 11:31:00,63789,163688,8.71e+17,0.377975291,0.41882576899999996,0.39023043399999996,False,False,108,11:31:00,2017-06-04
36,happy presidents day - make america great again!,2017-02-20 14:33:33,48802,242519,8.34e+17,0.28917133300000003,0.62052934,0.388578735,False,False,48,14:33:33,2017-02-20
37,my use of social media is not presidential - it?s modern day presidential. make america great again!,2017-07-01 22:41:00,56387,199049,8.81e+17,0.334115486,0.509303373,0.38667185200000004,False,False,100,22:41:00,2017-07-01
38,military solutions are now fully in placelocked and loadedshould north korea act unwisely. hopefully kim jong un will find another path!,2017-08-11 11:29:00,60063,176749,8.96e+17,0.355897254,0.45224473299999995,0.38480149700000005,False,False,136,11:29:00,2017-08-11
39,our country needs strong borders and extreme vetting now. look what is happening all over europe and indeed the world - a horrible mess!,2017-01-29 13:08:18,50439,218717,8.26e+17,0.298871211,0.559627558,0.377098115,False,False,136,13:08:18,2017-01-29
40,this will prove to be a great time in the lives of all americans. we will unite and we will win win win!,2016-11-12 15:05:00,53578,201692,7.97e+17,0.31747104,0.516065973,0.37704952,False,False,104,15:05:00,2016-11-12
41,kathy griffin should be ashamed of herself. my children especially my 11 year old son barron are having a hard time with this. sick!,2017-05-31 11:14:48,54196,195529,8.7e+17,0.32113293600000004,0.500296807,0.374882098,False,False,132,11:14:48,2017-05-31
42,big day planned on national security tomorrow. among many other things we will build the wall!,2017-01-25 02:37:48,53949,193872,8.24e+17,0.319669363,0.49605706899999996,0.372585675,False,False,94,02:37:48,2017-01-25
43,courageous patriots have fought and died for our great american flag --- we must honor and respect it! make america great again!,2017-09-24 19:32:21,52950,199204,9.12e+17,0.313749889,0.509699969,0.37253491299999997,False,False,128,19:32:21,2017-09-24
44,merry christmas and a very very very very happy new year to everyone!,2016-12-25 17:48:48,50193,212467,8.13e+17,0.297413563,0.543635787,0.37128023,False,False,69,17:48:48,2016-12-25
45,god bless the people of mexico city. we are with you and will be there for you.,2017-09-19 20:05:32,53528,190807,9.1e+17,0.31717477,0.488214704,0.36848675,False,False,79,20:05:32,2017-09-19
46,we need to be smart vigilant and tough. we need the courts to give us back our rights. we need the travel ban as an extra level of safety!,2017-06-03 23:17:00,54075,180015,8.71e+17,0.320415963,0.46060139299999997,0.362471592,False,False,138,23:17:00,2017-06-03
47,i don't know putin have no deals in russia and the haters are going crazy - yet obama can make a deal with iran #1 in terror no problem!,2017-02-07 12:11:00,50474,188271,8.29e+17,0.2990786,0.48172588299999997,0.353872785,False,False,136,12:11:00,2017-02-07
48,#happyindependenceday #usa????,2017-07-05 02:19:00,47259,205493,8.82e+17,0.280028442,0.525791529,0.35375736799999996,True,False,30,02:19:00,2017-07-05
49,make america great again!,2017-08-16 12:39:07,52766,175370,8.98e+17,0.312659615,0.448716309,0.353476623,False,False,25,12:39:07,2017-08-16
50,watched protests yesterday but was under the impression that we just had an election! why didn't these people vote? celebs hurt cause badly.,2017-01-22 12:47:21,45718,213295,8.23e+17,0.270897402,0.5457543770000001,0.35335449399999996,False,False,140,12:47:21,2017-01-22
51,in addition to winning the electoral college in a landslide i won the popular vote if you deduct the millions of people who voted illegally,2016-11-27 20:30:43,53442,162476,8.03e+17,0.316665185,0.415724645,0.34638302299999996,False,False,139,20:30:43,2016-11-27
52,happy thanksgiving to everyone. we will together make america great again!,2016-11-24 03:30:36,48701,185773,8.02e+17,0.288572868,0.47533429200000005,0.344601295,False,False,74,03:30:36,2016-11-24
53,how low has president obama gone to tapp my phones during the very sacred election process. this is nixon/watergate. bad (or sick) guy!,2017-03-04 12:02:00,52836,162336,8.38e+17,0.313074393,0.415366429,0.343762004,False,False,135,12:02:00,2017-03-04
54,"we must keep ""evil"" out of our country!",2017-02-03 23:08:00,44904,204985,8.28e+17,0.266074127,0.5244917179999999,0.343599404,False,False,39,23:08:00,2017-02-03
55,if the election were based on total popular vote i would have campaigned in n.y. florida and california and won even bigger and more easily,2016-11-15 13:34:43,49623,179219,7.99e+17,0.29403608600000003,0.45856468100000003,0.34339466399999996,False,False,139,13:34:43,2016-11-15
56,the fake news media (failing @nytimes @nbcnews @abc @cbs @cnn) is not my enemy it is the enemy of the american people!,2017-02-17 21:48:22,52654,162368,8.33e+17,0.31199597100000004,0.415448307,0.343031672,False,True,118,21:48:22,2017-02-17
57,being nice to rocket man hasn't worked in 25 years why would it work now? clinton failed bush failed and obama failed. i won't fail.,2017-10-01 19:01:00,47699,188927,9.15e+17,0.28263561800000003,0.483404379,0.34286624600000004,False,False,132,19:01:00,2017-10-01
58,crooked h destroyed phones w/ hammer 'bleached' emails had husband meet w/ag days before she was cleared- they talk about obstruction?,2017-06-15 19:56:01,54056,154284,8.75e+17,0.32030338,0.39476391,0.342641539,False,False,134,19:56:01,2017-06-15
59,we should start an immediate investigation into @senschumer and his ties to russia and putin. a total hypocrite!,2017-03-03 17:54:00,54593,150081,8.38e+17,0.32348532,0.384009764,0.34164265299999996,True,True,112,17:54:00,2017-03-03
60,i am so proud of our great country. god bless america!,2017-10-03 11:40:00,43026,212403,9.15e+17,0.25494622699999997,0.543472031,0.341503968,False,False,54,11:40:00,2017-10-03
61,do you notice we are not having a gun debate right now? that's because they used knives and a truck!,2017-06-04 11:43:00,50591,168637,8.71e+17,0.299771872,0.431488693,0.339286918,False,False,100,11:43:00,2017-06-04
62,if a player wants the privilege of making millions of dollars in the nflor other leagues he or she should not be allowed to disrespect....,2017-09-23 18:11:10,47642,184086,9.12e+17,0.28229787,0.47101779299999996,0.33891384700000005,False,False,138,18:11:10,2017-09-23
63,hope you like my nomination of judge neil gorsuch for the united states supreme court. he is a good and brilliant man respected by all.,2017-02-01 03:45:00,34238,250940,8.27e+17,0.20287381899999998,0.642076013,0.334634477,False,False,135,03:45:00,2017-02-01
64,watching the returns at 9:45pm. #electionnight #maga????,2016-11-09 02:48:00,45335,190930,7.96e+17,0.268627974,0.48852942200000005,0.334598408,True,False,56,02:48:00,2016-11-09
65,make america great again!,2016-11-05 13:33:00,59098,115387,7.95e+17,0.350179243,0.29523880199999997,0.333697111,False,False,25,13:33:00,2016-11-05
66,wow television ratings just out: 31 million people watched the inauguration 11 million more than the very good ratings from 4 years ago!,2017-01-22 12:51:36,40085,217610,8.23e+17,0.237519628,0.556795096,0.333302268,False,False,136,12:51:36,2017-01-22
67,just got a call from my friend bill ford chairman of ford who advised me that he will be keeping the lincoln plant in kentucky - no mexico,2016-11-18 02:01:52,49187,166484,7.99e+17,0.291452612,0.425979848,0.33181078199999997,False,False,138,02:01:52,2016-11-18
68,the #marchforlife is so important. to all of you marching --- you have my full support!,2017-01-27 16:27:02,45457,184954,8.25e+17,0.269350873,0.47323873,0.33051723,False,False,87,16:27:02,2017-01-27
69,let us give thanks for all that we have and let us boldly face the exciting new frontiers that lie ahead. happy th?,2016-11-24 02:17:26,48531,167399,8.02e+17,0.28756555,0.42832104299999996,0.329792198,True,False,115,02:17:26,2016-11-24
70,make america great again!,2017-06-02 01:00:00,48844,165602,8.7e+17,0.2894202,0.423723089,0.329711066,False,False,25,01:00:00,2017-06-02
71,north korea has just launched another missile. does this guy have anything better to do with his life? hard to believe that south korea.....,2017-07-04 02:19:00,51684,148904,8.82e+17,0.306248333,0.380998194,0.328673292,False,False,140,02:19:00,2017-07-04
72,the united states is considering in addition to other options stopping all trade with any country doing business with north korea.,2017-09-03 16:14:00,46856,171720,9.04e+17,0.277640506,0.43937711399999996,0.326161488,False,False,130,16:14:00,2017-09-03
73,if nfl fans refuse to go to games until players stop disrespecting our flag country you will see change take place fast. fire or suspend!,2017-09-24 10:44:52,45225,179990,9.12e+17,0.26797618,0.460537426,0.32574455399999996,False,False,137,10:44:52,2017-09-24
74,north korea is looking for trouble. if china decides to help that would be great. if not we will solve the problem without them! u.s.a.,2017-04-11 12:03:00,53328,136091,8.52e+17,0.31598969,0.34821378299999994,0.325656918,False,False,135,12:03:00,2017-04-11
75,today we express our deepest gratitude to all those who have served in our armed forces. #thankavet,2016-11-11 15:26:00,47145,168933,7.97e+17,0.279352946,0.43224606299999996,0.325220882,True,False,99,15:26:00,2016-11-11
76,just left hospital. rep. steve scalise one of the truly great people is in very tough shape - but he is a real fighter. pray for steve!,2017-06-15 01:41:45,41305,195471,8.75e+17,0.244748615,0.5001484039999999,0.321368552,False,False,135,01:41:45,2017-06-15
77,"terrible! just found out that obama had my ""wires tapped"" in trump tower just before the victory. nothing found. this is mccarthyism!",2017-03-04 11:35:00,50573,143525,8.38e+17,0.299665215,0.367235036,0.319936161,False,False,133,11:35:00,2017-03-04
78,make america great again!,2017-06-24 21:23:52,46890,162744,8.79e+17,0.27784197,0.41641037200000003,0.31941249,False,False,25,21:23:52,2017-06-24
79,happy 241st birthday to the u.s. marine corps! thank you for your service!!,2016-11-10 19:31:00,45576,169729,7.97e+17,0.270055995,0.434282775,0.319324029,True,False,75,19:31:00,2016-11-10
80,what truly matters is not which party controls our government but whether our government is controlled by the people.,2017-01-20 17:52:45,42790,180394,8.23e+17,0.253547833,0.461571134,0.315954823,False,False,117,17:52:45,2017-01-20
81,i am being investigated for firing the fbi director by the man who told me to fire the fbi director! witch hunt,2017-06-16 13:07:55,47625,153281,8.76e+17,0.282197138,0.39219755100000003,0.315197262,False,False,111,13:07:55,2017-06-16
82,happy easter to everyone!,2017-04-16 12:24:49,40671,186323,8.54e+17,0.240991912,0.47674156799999995,0.311716809,False,False,25,12:24:49,2017-04-16
83,venezuela should allow leopoldo lopez a political prisoner husband of @liliantintori (just met w/ @marcorubio) o?,2017-02-15 23:59:26,53977,110166,8.32e+17,0.319835274,0.281879916,0.30844866600000004,True,True,113,23:59:26,2017-02-15
84,professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to make america great again!,2017-02-03 11:48:00,42421,172191,8.27e+17,0.25136136,0.440582254,0.30812762899999996,False,False,136,11:48:00,2017-02-03
85,here is my statement.,2016-10-08 04:19:00,51891,120244,7.85e+17,0.30747489100000003,0.307666327,0.30753232199999997,True,False,21,04:19:00,2016-10-08
86,...senators should focus their energies on isis illegal immigration and border security instead of always looking to start world war iii.,2017-01-29 21:49:32,42371,170039,8.26e+17,0.251065091,0.435075967,0.30626835399999996,False,False,137,21:49:32,2017-01-29
87,don't believe the main stream (fake news) media.the white house is running very well. i inherited a mess and am in the process of fixing it.,2017-02-18 13:31:53,39020,186074,8.33e+17,0.231209078,0.476104456,0.30467769100000003,False,False,140,13:31:53,2017-02-18
88,a fantastic day in d.c. met with president obama for first time. really good meeting great chemistry. melania liked mrs. o a lot!,2016-11-11 02:10:00,37788,192638,7.97e+17,0.223908986,0.49289965399999996,0.304606186,False,False,129,02:10:00,2016-11-11
89,sports fans should never condone players that do not stand proud for their national anthem or their country. nfl should change policy!,2017-09-24 22:25:20,40390,174275,9.12e+17,0.239326875,0.44591455,0.301303177,False,False,134,22:25:20,2017-09-24
90,...our great american flag (or country) and should stand for the national anthem. if not you're fired. find something else to do!,2017-09-23 18:18:19,42328,161691,9.12e+17,0.250810298,0.413716078,0.299682032,False,False,129,18:18:19,2017-09-23
91,when will the democrats give us our attorney general and rest of cabinet! they should be ashamed of themselves! no wonder d.c. doesn't work!,2017-01-31 11:27:02,38848,179221,8.26e+17,0.230189909,0.458569798,0.29870387600000003,False,False,140,11:27:02,2017-01-31
92,a new radical islamic terrorist has just attacked in louvre museum in paris. tourists were locked down. france on edge again. get smart u.s.,2017-02-03 12:51:00,41566,163923,8.28e+17,0.246295144,0.41942706,0.298234719,False,False,140,12:51:00,2017-02-03
93,the theater must always be a safe and special place.the cast of hamilton was very rude last night to a very good man mike pence. apologize!,2016-11-19 13:56:30,43759,150281,8e+17,0.259289545,0.384521501,0.296859131,False,False,139,13:56:30,2016-11-19
94,i spoke with president moon of south korea last night. asked him how rocket man is doing. long gas lines forming in north korea. too bad!,2017-09-17 11:53:35,44062,148003,9.09e+17,0.261084941,0.37869282,0.296367304,False,False,137,11:53:35,2017-09-17
95,....transgender individuals to serve in any capacity in the u.s. military. our military must be focused on decisive and overwhelming.....,2017-07-26 13:04:39,45736,138148,8.9e+17,0.27100405899999996,0.353476995,0.29574594,False,False,137,13:04:39,2017-07-26
96,even usain bolt from jamaica one of the greatest runners and athletes of all time showed respect for our national anthem! ????????,2017-09-27 01:15:55,43791,146298,9.13e+17,0.259479157,0.374330265,0.29393449,True,False,130,01:15:55,2017-09-27
97,enjoy the #superbowl and then we continue: make america great again!,2017-02-05 22:49:00,36535,185073,8.28e+17,0.21648446100000002,0.473543214,0.293602087,False,False,68,22:49:00,2017-02-05
98,#merrychristmas,2016-12-25 12:46:41,42571,151610,8.13e+17,0.25225017,0.387921991,0.292951717,True,False,15,12:46:41,2016-12-25
99,when a country is no longer able to say who can and who cannot come in out especially for reasons of safety - big trouble!,2017-02-04 12:59:00,38069,175399,8.28e+17,0.225574023,0.44879051,0.292538969,False,False,122,12:59:00,2017-02-04
100,mexico was just ranked the second deadliest country in the world after only syria. drug trade is largely the cause. we will build the wall!,2017-06-22 22:15:39,43956,143033,8.78e+17,0.260456848,0.36597616299999997,0.292112643,False,False,139,22:15:39,2017-06-22
101,heading to joint base andrews on #marineone with prime minister shinzo earlier today.,2017-02-10 23:24:00,40351,160212,8.3e+17,0.23909578399999998,0.409931786,0.290346585,True,False,85,23:24:00,2017-02-10
102,roger goodell of nfl just put out a statement trying to justify the total disrespect certain players show to our country.tell them to stand!,2017-09-23 22:25:17,40988,156381,9.12e+17,0.242870263,0.40012946899999996,0.290048025,False,False,140,22:25:17,2017-09-23
103,....victory and cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail. thank you,2017-07-26 13:08:21,43406,143128,8.9e+17,0.25719787899999996,0.36621923799999995,0.289904287,False,False,140,13:08:21,2017-07-26
104,since november 8th election day the stock market has posted $3.2 trillion in gains and consumer confidence is at a 15 year high. jobs!,2017-03-02 11:00:00,37270,175684,8.37e+17,0.22083962899999998,0.449519735,0.289443661,False,False,134,11:00:00,2017-03-02
105,we will bring back our jobs. we will bring back our borders. we will bring back our wealth - and we will bring back our dreams!,2017-01-20 17:54:36,37458,173821,8.23e+17,0.221953604,0.44475290799999995,0.288793395,False,False,127,17:54:36,2017-01-20
106,i am extremely pleased to see that @cnn has finally been exposed as #fakenews and garbage journalism. it's about time!,2017-07-01 13:12:00,41262,151428,8.81e+17,0.244493823,0.38745631,0.287382569,False,True,118,13:12:00,2017-07-01
107,boeing is building a brand new 747 air force one for future presidents but costs are out of control more than $4 billion. cancel order!,2016-12-06 13:52:00,42984,141634,8.06e+17,0.25469736,0.362396565,0.287007122,False,False,135,13:52:00,2016-12-06
108,they made up a phony collusion with the russians story found zero proof so now they go for obstruction of justice on the phony story. nice,2017-06-15 10:55:37,42090,144441,8.75e+17,0.249400053,0.36957879,0.285453674,False,False,138,10:55:37,2017-06-15
109,together we will prevail in the great state of texas. we love you!god bless texas god bless the usa????,2017-09-03 01:55:00,42565,140941,9.04e+17,0.252214618,0.360623398,0.284737252,True,False,103,01:55:00,2017-09-03
110,the american people. i have no doubt that we will together make america great again!,2017-01-19 13:02:18,38818,159832,8.22e+17,0.230012147,0.40895948600000004,0.28369634899999996,False,False,84,13:02:18,2017-01-19
111,wow looks like james comey exonerated hillary clinton long before the investigation was over...and so much more. a rigged system!,2017-09-01 11:56:00,42941,137366,9.04e+17,0.254442568,0.351476104,0.283552629,False,False,129,11:56:00,2017-09-01
112,so proud of nascar and its supporters and fans. they won't put up with disrespecting our country or our flag - they said it loud and clear!,2017-09-25 11:25:25,36250,173313,9.12e+17,0.214795722,0.443453097,0.283392934,False,False,139,11:25:25,2017-09-25
113,we will follow two simple rules: buy american hire american!#inaugurationday #maga????,2017-01-20 17:55:44,38092,161358,8.23e+17,0.225710307,0.412864037,0.281856426,False,False,86,17:55:44,2017-01-20
114,celebrate martin luther king day and all of the many wonderful things that he stood for. honor him for being the great man that he was!,2017-01-16 13:54:52,37896,161320,8.21e+17,0.22454892899999998,0.412766807,0.281014292,False,False,135,13:54:52,2017-01-16
115,wow so many fake news stories today. no matter what i do or say they will not write or speak truth. the fake news media is out of control!,2017-10-04 11:29:00,38432,157255,9.16e+17,0.227724943,0.402365759,0.280117188,False,False,138,11:29:00,2017-10-04
116,the american dream is back. we?re going to create an environment for small business like we haven?t had in many ma?,2017-01-30 21:07:52,34595,176861,8.26e+17,0.20498918600000002,0.452531305,0.279251822,True,False,115,21:07:52,2017-01-30
117,"if the ban were announced with a one week notice the ""bad"" would rush into our country during that week. a lot of bad ""dudes"" out there!",2017-01-30 13:31:00,35502,171722,8.26e+17,0.210363523,0.439382231,0.279069136,False,False,136,13:31:00,2017-01-30
118,there is nothing nice about searching for terrorists before they can enter our country. this was a big part of my campaign. study the world!,2017-01-30 12:27:05,34992,173239,8.26e+17,0.20734157,0.443263754,0.278118225,False,False,140,12:27:05,2017-01-30
119,after consultation with my generals and military experts please be advised that the united states government will not accept or allow......,2017-07-26 12:55:58,43443,127153,8.9e+17,0.257417118,0.325344271,0.277795264,False,False,139,12:55:58,2017-07-26
120,i am so proud of my daughter ivanka. to be abused and treated so badly by the media and to still hold her head so high is truly wonderful!,2017-02-11 23:00:00,28439,207438,8.31e+17,0.168512429,0.5307681679999999,0.27718915,False,False,138,23:00:00,2017-02-11
121,busy day planned in new york. will soon be making some very important decisions on the people who will be running our government!,2016-11-11 13:33:00,33324,178189,7.97e+17,0.197458004,0.45592923700000004,0.27499937399999996,False,False,129,13:33:00,2016-11-11
122,any negative polls are fake news just like the cnn abc nbc polls in the election. sorry people want border security and extreme vetting.,2017-02-06 12:01:00,36259,161819,8.29e+17,0.21484905,0.41404359,0.274607412,False,False,136,12:01:00,2017-02-06
123,kim jong un of north korea who is obviously a madman who doesn't mind starving or killing his people will be tested like never before!,2017-09-22 10:28:02,41831,130442,9.11e+17,0.247865375,0.33375978100000003,0.273633697,False,False,134,10:28:02,2017-09-22
124,stock market hits an all-time high! unemployment lowest in 16 years! business and manufacturing enthusiasm at highest level in decades!,2017-10-05 11:09:00,36546,157404,9.16e+17,0.21654964,0.402747003,0.272408849,False,False,135,11:09:00,2017-10-05
125,such a great honor to be the republican nominee for president of the united states. i will work hard and never let you down! america first!,2016-07-19 23:52:59,41616,129652,7.56e+17,0.24659141399999998,0.331738421,0.272135516,False,False,139,23:52:59,2016-07-19
126,do you believe it? the obama administration agreed to take thousands of illegal immigrants from australia. why? i will study this dumb deal!,2017-02-02 03:55:00,37373,152041,8.27e+17,0.221449945,0.389024783,0.271722397,False,False,140,03:55:00,2017-02-02
127,it is a disgrace that my full cabinet is still not in place the longest such delay in the history of our country. obstruction by democrats!,2017-02-08 01:04:00,36410,157210,8.29e+17,0.21574378600000002,0.40225061799999995,0.271695835,False,False,139,01:04:00,2017-02-08
128,"a big salute to jerry jones owner of the dallas cowboys who will bench players who disrespect our flag.""stand for anthem or sit for game!""",2017-10-10 01:51:00,34557,166116,9.18e+17,0.20476402100000002,0.425038252,0.27084629,False,False,138,01:51:00,2017-10-10
129,hillaryclinton can illegally get the questions to the debate delete 33000 emails but my son don is being scorned by the fake news media?,2017-07-16 10:35:44,38330,143851,8.87e+17,0.227120552,0.368069166,0.269405136,False,False,136,10:35:44,2017-07-16
130,today we remember the men and women who made the ultimate sacrifice in serving. thank you god bless your families god bless the usa!,2017-05-29 12:35:34,36848,151852,8.69e+17,0.218339111,0.38854119200000004,0.269399735,False,False,132,12:35:34,2017-05-29
