weighted score,Normalised retweets,Norm likes,,weighted score,Normalised retweets,Norm likes,,SQUARED ERROR,,,,SUM,,,,MSE,,
3.87E-01,2.34E-01,3.91E-01,,1,0.840535656,0.897636202,,0.376356798,0.368410462,0.256234319,,31.53068811,10.97253352,32.77779985,,0.014978949,0.005212605,0.015571401
1.71E-01,9.47E-02,1.72E-01,,0.797789963,0.447225432,0.812817117,,0.393488759,0.124252044,0.410694354,,,,,,,,
2.17E-01,1.18E-01,2.21E-01,,0.690678173,0.432163067,0.684343712,,0.224068938,0.098573876,0.215122631,,0.376356798,0.438304382,0.285454529,,,,
3.21E-01,1.93E-01,3.25E-01,,0.673116164,0.390193464,0.680353251,,0.124216255,0.038860359,0.12634803,,,,,,,,
4.66E-02,3.08E-02,4.65E-02,,0.565971855,0.359102895,0.558767106,,0.269786198,0.107789229,0.262398133,,,,,,,,
3.75E-02,2.46E-02,3.74E-02,,0.522348322,0.237519628,0.556346704,,0.235101408,0.045343406,0.269306188,,,,,,,,
2.19E-01,1.18E-01,2.21E-01,,0.55532612,0.35710011,0.546216873,,0.113117957,0.057065276,0.105538263,,,,,,,,
7.46E-02,3.60E-02,7.52E-02,,0.525027031,0.270897402,0.545294815,,0.202889883,0.055173222,0.221008575,,,,,,,,
4.63E-02,2.61E-02,4.63E-02,,0.478005317,0.168512429,0.530293445,,0.186369386,0.020289625,0.234261918,,,,,,,,
4.27E-02,2.69E-02,4.11E-02,,0.512302145,0.280028442,0.525311771,,0.220505591,0.064092887,0.234432584,,,,,,,,
5.72E-02,3.47E-02,5.74E-02,,0.459951466,0.240991912,0.476212186,,0.162196012,0.042560898,0.175431133,,,,,,,,
4.55E-02,2.50E-02,4.54E-02,,0.456089897,0.231209078,0.475574429,,0.168573844,0.042532473,0.185012897,,,,,,,,
6.34E-02,4.15E-02,6.35E-02,,0.475153853,0.288572868,0.474803486,,0.16957232,0.061033723,0.169200233,,,,,,,,
2.08E-01,1.22E-01,2.11E-01,,0.42848781,0.197458004,0.455378799,,0.048447475,0.00563829,0.059884448,,,,,,,,
2.60E-01,1.44E-01,2.63E-01,,0.41441544,0.158504429,0.454482354,,0.02381879,0.000196181,0.036739071,,,,,,,,
4.77E-02,4.07E-02,4.73E-02,,0.432461161,0.225574023,0.44823285,,0.148016261,0.034189323,0.160723478,,,,,,,,
1.18E-01,6.74E-02,1.19E-01,,0.434893949,0.239326875,0.445353981,,0.100190922,0.029558397,0.106352457,,,,,,,,
2.62E-01,1.47E-01,2.64E-01,,0.421817458,0.20734157,0.442700503,,0.025697798,0.003602467,0.031769221,,,,,,,,
1.61E-01,9.76E-02,1.63E-01,,0.434786232,0.25136136,0.44001629,,0.07497013,0.023636888,0.07693037,,,,,,,,
3.81E-02,2.33E-02,3.66E-02,,0.410608746,0.193304299,0.434642741,,0.138785533,0.028886057,0.158407795,,,,,,,,
